"Organisation","Sector","Common Name","Acronym","Postal Address","Web Site","Email"
"MidCentral District Health Board","District Health Board","","","PO Box 2056
PALMERSTON NORTH
","http://www.midcentraldhb.govt.nz/","communications@midcentraldhb.govt.nz"
"Nelson Marlborough District Health Board","District Health Board","","","Private Bag 18
NELSON
","http://www.nmdhb.govt.nz","enquiries.corporate@nmhs.govt.nz"
"Northland District Health Board","District Health Board","","","PO Box 742
WHANGAREI
","http://www.northlanddhb.org.nz/",""
"Otago District Health Board","District Health Board","","","Private Bag 1921
DUNEDIN
","http://www.otagodhb.govt.nz/","contact@otagodhb.govt.nz"
"South Canterbury District Health Board","District Health Board","","","Private Bag 911
TIMARU
","http://www.scdhb.co.nz","ceo@timhosp.co.nz"
"Southland District Health Board","District Health Board","","","PO Box 828
INVERCARGILL
","http://www.southlandhealth.co.nz","contactus@sdhb.govt.nz"
"Tairawhiti District Health Board","District Health Board","Tairawhiti District Health","","Private Bag 7001
GISBORNE
","http://www.tdh.org.nz",""
"Taranaki District Health Board","District Health Board","","","Private Bag 2016
NEW PLYMOUTH
","http://www.tdhb.org.nz","corporate@tdhb.org.nz"
"Waikato District Health Board","District Health Board","","","Private Bag 934
HAMILTON
","http://www.waikatodhb.govt.nz/","info@waikatodhb.govt.nz"
"Wairarapa District Health Board","District Health Board","","","PO Box 96
MASTERTON
","http://www.wairarapa.dhb.org.nz","board@wairarapa.dhb.org.nz"
"Waitemata District Health Board","District Health Board","","","Private Bag 93503
NORTH SHORE CITY 0740
","http://www.waitematadhb.govt.nz",""
"West Coast District Health Board","District Health Board","","","PO Box 387
GREYMOUTH
","http://www.westcoastdhb.org.nz/",""
"Whanganui District Health Board","District Health Board","","","Private Bag 3003
WANGANUI
","http://www.wdhb.org.nz","contact@ghw.co.nz"
"Tertiary Education Commission","Crown agent","","TEC","PO Box 27048
WELLINGTON
","http://www.tec.govt.nz","info@tec.govt.nz"
"Sport and Recreation New Zealand","Crown agent","","SPARC","PO Box 2251
WELLINGTON
","http://www.sparc.org.nz","info@sparc.org.nz"
"Social Workers Registration Board","Crown agent","","","PO Box 10150
The Terrace
WELLINGTON
","http://www.swrb.org.nz","info@swrb.org.nz"
"Pharmaceutical Management Agency","Crown agent","Pharmaceutical Management Agency Limited","PHARMAC","PO Box 10254
WELLINGTON
","http://www.pharmac.govt.nz","webmaster@pharmac.govt.nz"
"New Zealand Trade and Enterprise","Crown agent","","NZTE","PO Box 2878
WELLINGTON
","http://www.nzte.govt.nz","info@nzte.govt.nz"
"New Zealand Tourism Board","Crown agent","Tourism New Zealand","","PO Box 95
WELLINGTON
","http://www.tourisminfo.govt.nz/",""
"New Zealand Qualifications Authority","Crown agent","","NZQA","PO Box 160
WELLINGTON 6140
","http://www.nzqa.govt.nz/","helpdesk@nzqa.govt.nz"
"New Zealand Fire Service Commission","Crown agent","","","PO Box 2133
WELLINGTON
","http://www.fire.org.nz","queries@fire.org.nz"
"New Zealand Blood Service","Crown agent","","","PO Box 92071
Epsom
AUCKLAND
","http://www.nzblood.co.nz/","donors.national@nzblood.co.nz"
"New Zealand Antarctic Institute","Crown agent","Antarctica New Zealand","","Private Bag 4745
CHRISTCHURCH
","http://www.antarcticanz.govt.nz","info@antarcticanz.govt.nz"
"Legal Services Agency","Crown agent","","LSA","PO Box 5333
WELLINGTON
","http://www.lsa.govt.nz","info@lsa.govt.nz"
"Health Sponsorship Council","Crown agent","","","PO Box 2142
WELLINGTON
","http://www.hsc.org.nz","info@hsc.org.nz"
"Health Research Council of New Zealand","Crown agent","","HRC","PO Box 5541
Wellesley St
AUCKLAND
","http://www.hrc.govt.nz/","info@hrc.govt.nz"
"Foundation for Research, Science, and Technology","Crown agent","","FRST","PO Box 12240
WELLINGTON 6144
","http://www.frst.govt.nz","mail@frst.govt.nz"
"Energy Efficiency and Conservation Authority","Crown agent","","EECA","PO Box 388
WELLINGTON
","http://www.eeca.govt.nz","info@eeca.govt.nz"
"Electricity Commission","Crown agent","","","PO Box 10041
WELLINGTON
","http://www.electricitycommission.govt.nz","info@electricitycommission.govt.nz"
"Earthquake Commission","Crown agent","","EQC","PO Box 790
WELLINGTON
","http://www.eqc.govt.nz/","info@eqc.govt.nz"
"Civil Aviation Authority of New Zealand","Crown agent","","CAA","PO Box 31441
LOWER HUTT
","http://www.caa.govt.nz","info@caa.govt.nz"
"Career Services","Crown agent","","","PO Box 9446
WELLINGTON 6141
","http://www.careers.govt.nz","careers@careers.govt.nz"
"Accident Compensation Corporation","Crown agent","","ACC","PO Box 242
WELLINGTON
","http://www.acc.co.nz/","information@acc.co.nz"
"Housing New Zealand Corporation","Crown agent","Housing New Zealand","HNZC","PO Box 2628
WELLINGTON
","http://www.hnzc.co.nz/",""
"Crown Health Financing Agency","Crown agent","","CHFA","PO Box 5358
Lambton Quay
WELLINGTON
","http://www.rhmu.govt.nz","office@rhmu.govt.nz"
"Maritime New Zealand","Crown agent","","","PO Box 27006
WELLINGTON
","http://www.maritimenz.govt.nz/",""
"New Zealand Artificial Limb Board","Autonomous Crown entity","","NZALB","PO Box 19160
WELLINGTON 6149
","http://www.nzalb.govt.nz","info@nzalb.govt.nz"
"New Zealand Lotteries Commission","Autonomous Crown entity","","","PO Box 3145
WELLINGTON
","http://www.nzlotteries.co.nz","info@nzlotteries.co.nz"
"New Zealand Film Commission","Autonomous Crown entity","","NZFC","PO Box 11546
WELLINGTON
","http://www.nzfilm.co.nz/","info@nzfilm.co.nz"
"Environmental Risk Management Authority","Autonomous Crown entity","","ERMA","PO Box 131
WELLINGTON
","http://www.ermanz.govt.nz/","info@ermanz.govt.nz"
"Standards Council","Autonomous Crown entity","Standards New Zealand","","Private Bag 2439
WELLINGTON
","http://www.standards.co.nz/","enquiries@standards.co.nz"
"Mental Health Commission","Autonomous Crown entity","","","PO Box 12479
Thorndon
WELLINGTON
","http://www.mhc.govt.nz","info@mhc.govt.nz"
"Testing Laboratory Registration Council","Autonomous Crown entity","","","Private Bag 28901
Remuera
AUCKLAND 1541
","http://www.telarcsai.co.nz/",""
"New Zealand Symphony Orchestra","Autonomous Crown entity","","NZSO","PO Box 6640
WELLINGTON 6001
","http://www.nzso.co.nz/","info@nzso.co.nz"
"New Zealand Teachers Council","Autonomous Crown entity","","","PO Box 5326
WELLINGTON
","http://www.teacherscouncil.govt.nz/","inquiries@teacherscouncil.govt.nz"
"Public Trust","Autonomous Crown entity","","","PO Box 5067
WELLINGTON
","http://www.publictrust.co.nz","info@publictrust.co.nz"
"Families Commission","Autonomous Crown entity","","","PO Box 2839
WELLINGTON
","http://www.nzfamilies.org.nz","enquiries@nzfamilies.org.nz"
"Government Superannuation Fund Authority","Autonomous Crown entity","","GSFNZ","PO Box 3390
WELLINGTON
","http://www.gsfa.govt.nz","enquiries@gsfa.co.nz"
"Guardians of New Zealand Superannuation","Autonomous Crown entity","","","Private Bag 106607
AUCKLAND
","http://www.nzsuperfund.co.nz","enquiries@nzsuperfund.co.nz"
"Museum of New Zealand Te Papa Tongarewa Board","Autonomous Crown entity","Museum of New Zealand Te Papa Tongarewa","","PO Box 467
WELLINGTON
","http://www.tepapa.govt.nz","mail@tepapa.govt.nz"
"Retirement Commissioner","Autonomous Crown entity","Retirement Commission, Whiriwhiria!","","PO Box 12148
Thorndon
WELLINGTON
","http://www.retirement.org.nz","office@retirement.org.nz"
"New Zealand Historic Places Trust (Pouhere Taonga)","Autonomous Crown entity","","NZHPT","PO Box 2629
WELLINGTON
","http://www.historic.org.nz","information@historic.org.nz"
"Te Taura Whiri i Te Reo Māori (Māori Language Commission)","Autonomous Crown entity","","","PO Box 411
WELLINGTON
","http://www.tetaurawhiri.govt.nz","tereo@tetaurawhiri.govt.nz"
"Te Reo Whakapuaki Irirangi (Maori Broadcasting Funding Agency)","Autonomous Crown entity","Te Māngai Pāho ","TMP","PO Box 10004
The Terrace
WELLINGTON
","http://www.tmp.govt.nz/","Webconnect@tmp.govt.nz"
"Alcohol Advisory Council of New Zealand","Autonomous Crown entity","","ALAC","PO Box 5023
WELLINGTON
","http://www.alcohol.org.nz/","central@alac.org.nz"
"Arts Council of New Zealand Toi Aotearoa","Autonomous Crown entity","Creative New Zealand","","PO Box 3806
WELLINGTON
","http://www.creativenz.govt.nz/","info@creativenz.govt.nz"
"Broadcasting Commission","Autonomous Crown entity","","","PO Box 9744
WELLINGTON
","http://www.nzonair.govt.nz","info@nzonair.govt.nz"
"Charities Commission","Autonomous Crown entity","","","PO Box 8072
WELLINGTON
","http://www.charities.govt.nz/","info@charities.govt.nz"
"Securities Commission","Independent Crown entity","","","PO Box 1179
WELLINGTON 6011
","http://www.sec-com.govt.nz/","seccom@sec-com.govt.nz"
"Human Rights Commission","Independent Crown entity","","","PO Box 12411
Thorndon
WELLINGTON 6144
","http://www.hrc.co.nz/","infoline@hrc.co.nz"
"Law Commission","Independent Crown entity","","","PO Box 2590
The Terrace
WELLINGTON
","http://www.lawcom.govt.nz","com@lawcom.govt.nz"
"Commerce Commission","Independent Crown entity","","","PO Box 2351
WELLINGTON
","http://www.comcom.govt.nz","contact@comcom.govt.nz"
"Independent Police Conduct Authority","Independent Crown entity","","IPCA","PO Box 5025
WELLINGTON
","http://www.ipca.govt.nz/","admin@pca.govt.nz"
"Privacy Commissioner","Independent Crown entity","Office of the Privacy Commissioner","","PO Box 10 094
WELLINGTON
","http://www.privacy.org.nz","enquiries@privacy.org.nz"
"Takeovers Panel","Independent Crown entity","","","PO Box 1171
WELLINGTON
","http://www.takeovers.govt.nz","takeovers.panel@takeovers.govt.nz"
"Accounting Standards Review Board","Independent Crown entity","","","Private Bag 92162
AUCKLAND
","http://www.asrb.co.nz/",""
"Electoral Commission","Independent Crown entity","","","PO Box 3050
WELLINGTON
","http://www.elections.org.nz/","info@elections.govt.nz"
"Health and Disability Commissioner","Independent Crown entity","","","PO Box 1791
AUCKLAND
","http://www.hdc.org.nz/","hdc@hdc.org.nz"
"Transport Accident Investigation Commission","Independent Crown entity","","TAIC","PO Box 10323
WELLINGTON 6143
","http://www.taic.org.nz","inquiries@taic.org.nz"
"Drug Free Sport New Zealand","Independent Crown entity","","NZSDA","PO Box 18339
AUCKLAND 1743
","http://www.drugfreesport.org.nz","nzsda@nzsda.co.nz"
"Broadcasting Standards Authority","Independent Crown entity","","BSA","PO Box 9213
WELLINGTON
","http://www.bsa.govt.nz/","info@bsa.govt.nz"
"Children's Commissioner","Independent Crown entity","Office of the Children's Commissioner","OCC","PO Box 5610
WELLINGTON
","http://www.occ.org.nz/","children@occ.org.nz"
"Office of Film and Literature Classification","Independent Crown entity","","","PO Box 1999
WELLINGTON
","http://www.censorship.govt.nz","information@censorship.govt.nz"
"New Zealand Forest Research Institute Limited","Crown Research Institute","Scion","FRICRI","Private Bag 3020
ROTORUA
","http://www.scionresearch.com/","info@scionresearch.com"
"Landcare Research New Zealand Limited","Crown Research Institute","","","PO Box 40
Lincoln
CANTERBURY 7640
","http://www.landcareresearch.co.nz","webmaster@landcareresearch.co.nz"
"Industrial Research Limited","Crown Research Institute","","IRL","PO Box 31310
LOWER HUTT 5040
","http://www.irl.cri.nz/","info@irl.cri.nz"
"Institute of Environmental Science and Research Limited","Crown Research Institute","","ESR","PO Box 50348
Porirua
WELLINGTON
","http://www.esr.cri.nz/","enquiries@esr.cri.nz"
"Institute of Geological and Nuclear Sciences Limited","Crown Research Institute","GNS Science","","PO Box 30368
LOWER HUTT
","http://www.gns.cri.nz","webmaster@gns.cri.nz"
"National Institute of Water and Atmospheric Research Limited","Crown Research Institute","","NIWA","Private Bag 99940
AUCKLAND
","http://www.niwa.co.nz",""
"AgResearch Limited","Crown Research Institute","","","Private Bag 3115
HAMILTON
","http://www.agresearch.co.nz/","info@agresearch.co.nz"
"Radio New Zealand Limited","Other Crown entity company","","RNZ","PO Box 123
WELLINGTON
","http://www.radionz.co.nz/","rnz@radionz.co.nz"
"Television New Zealand Limited","Other Crown entity company","","TVNZ","PO Box 3819
AUCKLAND
","http://www.tvnz.co.nz/",""
"New Zealand Venture Investment Fund Limited","Other Crown entity company","","VIF","PO Box 74211
Market Road
AUCKLAND
","http://www.nzvif.com/","venture@nzvif.co.nz"
"Crown entity subsidiaries","Crown entity subsidiary","","","","",""
"University of Waikato","University","","","Private Bag 3105
HAMILTON 3240
","http://www.waikato.ac.nz/","info@waikato.ac.nz"
"University of Canterbury","University","","","Private Bag 4800
CHRISTCHURCH
","http://www.canterbury.ac.nz","info@canterbury.ac.nz"
"Lincoln University","University","","","PO Box 84
Lincoln
CANTERBURY 7647
","http://www.lincoln.ac.nz","info@lincoln.ac.nz"
"University of Otago","University","","","PO Box 56
DUNEDIN
","http://www.otago.ac.nz","university@otago.ac.nz"
"Victoria University of Wellington","University","","VUW","PO Box 600
WELLINGTON 6140
","http://www.vuw.ac.nz/","info-desk@vuw.ac.nz"
"Auckland University of Technology","University","","","Private Bag 92006
AUCKLAND
","http://www.aut.ac.nz","courseinfo@aut.ac.nz"
"Massey University","University","","","Private Bag 11222
PALMERSTON NORTH
","http://palmerstonnorth.massey.ac.nz","contact@massey.ac.nz"
"University of Auckland","University","","","Private Bag 92019
AUCKLAND 1020
","http://www.auckland.ac.nz","studentinfo@auckland.ac.nz"
"Eastern Institute of Technology","Polytechnic/Institute of Technology","","EIT","Private Bag 1201
Taradale
NAPIER
","http://www.eit.ac.nz","info@eit.ac.nz"
"Wellington Institute of Technology","Polytechnic/Institute of Technology","","","Private Bag 39803
WELLINGTON
","http://www.weltec.ac.nz","information@weltec.ac.nz"
"Manukau Institute of Technology","Polytechnic/Institute of Technology","","MIT","Private Bag 94006
Manukau City
AUCKLAND 2240
","http://www.manukau.ac.nz","info@manukau.ac.nz"
"Telford Rural Polytechnic","Polytechnic/Institute of Technology","","","PO Box 6
Balclutha
SOUTH OTAGO
","http://www.telford.ac.nz/","telford.polytech@telford.ac.nz"
"Waiariki Institute of Technology","Polytechnic/Institute of Technology","","","Private Bag 3028
ROTORUA 3046
","http://www.waiariki.ac.nz","enquiries@waiariki.ac.nz"
"Whitireia Community Polytechnic","Polytechnic/Institute of Technology","","","Private Bag 50910
PORIRUA CITY
","http://www.whitireia.ac.nz","info@whitireia.ac.nz"
"Nelson Marlborough Institute of Technology","Polytechnic/Institute of Technology","","","Private Bag 19
NELSON
","http://www.nmit.ac.nz","info@nmit.ac.nz"
"Northtec","Polytechnic/Institute of Technology","","","Private Bag 9019
WHANGAREI
","http://www.northtec.ac.nz/","registry@northtec.ac.nz"
"Southern Institute of Technology","Polytechnic/Institute of Technology","","","Freepost SIT2LRN
Invercargill
SOUTHLAND
","http://www.sit.ac.nz","info@sit.ac.nz"
"Aoraki Polytechnic","Polytechnic/Institute of Technology","","","Private Bag 902
TIMARU
","http://www.aoraki.ac.nz/","study@aoraki.ac.nz"
"Bay of Plenty Polytechnic","Polytechnic/Institute of Technology","","","Private Bag 12001
TAURANGA
","http://www.boppoly.ac.nz","info@boppoly.ac.nz"
"Otago Polytechnic","Polytechnic/Institute of Technology","","","Private Bag 1910
DUNEDIN
","http://www.otagopolytechnic.ac.nz","info@tekotago.ac.nz"
"Tai Poutini Polytechnic","Polytechnic/Institute of Technology","","","Private Bag 607
GREYMOUTH
","http://www.taipoutini.ac.nz/taipoutini/","info@tpp.ac.nz"
"Tairawhiti Polytechnic","Polytechnic/Institute of Technology","","","PO Box 640
GISBORNE
","http://www.tairawhiti.ac.nz/","info@tairawhiti.ac.nz"
"Christchurch Polytechnic Institute of Technology","Polytechnic/Institute of Technology","","","PO Box 540
CHRISTCHURCH
","http://www.cpit.ac.nz","info@cpit.ac.nz"
"Waikato Institute of Technology","Polytechnic/Institute of Technology","","","Private Bag 3036
HAMILTON 3240
","http://www.wintec.ac.nz","info@wintec.ac.nz"
"Unitec Institute of Technology","Polytechnic/Institute of Technology","","","Private Bag 92025
Auckland Mail Centre
AUCKLAND 1142
","http://www.unitec.ac.nz","courses@unitec.ac.nz"
"Universal College of Learning","Polytechnic/Institute of Technology","","UCOL","Private Bag 11022
PALMERSTON NORTH
","http://www.ucol.ac.nz","enquiry@ucol.ac.nz"
"Open Polytechnic of New Zealand","Polytechnic/Institute of Technology","","TOPNZ","Private Bag 31914
LOWER HUTT
","http://www.openpolytechnic.ac.nz",""
"Western Institute of Technology at Taranaki","Polytechnic/Institute of Technology","","","Private Bag 2030
NEW PLYMOUTH
","http://www.witt.ac.nz","info@witt.ac.nz"
"Te Whare Wānanga o Awanuiārangi","Wananga","","","Private Bag 1006
WHAKATANE
","http://www.wananga.ac.nz","awanuiarangi@wananga.ac.nz"
"Te Wānanga o Aotearoa","Wananga","","","PO Box 151
TE AWAMUTU
","http://www.twoa.ac.nz/",""
"Te Wānanga o Raukawa","Wananga","","","PO Box 119
OTAKI
","http://www.twor.ac.nz","tetomonga@twor-otaki.ac.nz"
"The Correspondence School","School board of trustees","","","Private Bag 39992
WELLINGTON
","http://www.correspondence.school.nz","contact@correspondence.school.nz"
"Timberlands West Coast Limited","State Owned Enterprise","","","PO Box 515
GREYMOUTH
","http://www.timberlands.co.nz/","info@timberlands.co.nz"
"Genesis Power Limited","State Owned Enterprise","","","PO Box 17188
Greenlane
AUCKLAND
","http://www.genesisenergy.co.nz/","info@genesisenergy.co.nz"
"Mighty River Power Limited","State Owned Enterprise","","","PO Box 90399
AUCKLAND
","http://www.mightyriverpower.co.nz/","enquiries@mightyriver.co.nz"
"Solid Energy New Zealand Limited","State Owned Enterprise","","","PO Box 1303
CHRISTCHURCH
","http://www.solidenergy.co.nz/","info@solidenergy.co.nz"
"Landcorp Farming Limited","State Owned Enterprise","","","PO Box 5349
WELLINGTON
","http://www.landcorp.co.nz","enquiries@landcorp.co.nz"
"New Zealand Post Limited","State Owned Enterprise","","","Private Bag 39990
WELLINGTON
","http://www.nzpost.co.nz",""
"Meridian Energy Limited","State Owned Enterprise","","","PO Box 10840
WELLINGTON
","http://www.meridianenergy.co.nz","info@meridianenergy.co.nz"
"New Zealand Railways Corporation","State Owned Enterprise","ONTRACK","","PO Box 593
WELLINGTON
","http://www.ontrack.govt.nz","inquiries@ontrack.govt.nz"
"Transpower New Zealand Limited","State Owned Enterprise","","","PO Box 1021
WELLINGTON
","http://www.transpower.co.nz/",""
"Meteorological Service of New Zealand Limited","State Owned Enterprise","","","PO Box 722
WELLINGTON
","http://www.metservice.co.nz/","webmaster@metservice.com"
"Airways Corporation of New Zealand Limited","State Owned Enterprise","","AIR","PO Box 294
WELLINGTON
","http://www.airways.co.nz/","ken.mitchell@airways.co.nz"
"Electricity Corporation of New Zealand Limited","State Owned Enterprise","","ECNZ","PO Box 930
WELLINGTON
","http://www.ccmau.govt.nz/ecnz.html",""
"Animal Control Products Limited","State Owned Enterprise","","ACP","Private Bag 3018
WANGANUI
","http://www.pestoff.co.nz/","info@pestoff.co.nz"
"Learning Media Limited","State Owned Enterprise","","","PO Box 3293
WELLINGTON
","http://www.learningmedia.co.nz","info@learningmedia.co.nz"
"Quotable Value Limited","State Owned Enterprise","Quotable Value New Zealand","QVNZ","Private Bag 39818, Wellington Mail Centre
Lower Hutt
WELLINGTON 5045
","http://www.qv.co.nz/","enquiries@qv.co.nz"
"Office of the Ombudsmen","Office of Parliament","","","PO Box 10152
WELLINGTON
","http://www.ombudsmen.parliament.nz","office@ombudsmen.parliament.nz"
"Office of the Parliamentary Commissioner for the Environment","Office of Parliament","Parliamentary Commissioner for the Environment","PCE","PO Box 10241
WELLINGTON 6143
","http://www.pce.govt.nz/","pce@pce.govt.nz"
"Office of the Controller and Auditor-General","Office of Parliament","","","PO Box 3928
WELLINGTON
","http://www.oag.govt.nz","enquiry@oag.govt.nz"
"Agricultural and Marketing Research and Development Trust","Trust","","AGMARDT","PO Box 25207
Panama St
WELLINGTON
","http://www.agmardt.org.nz/","agmardt@clear.net.nz"
"Road Safety Trust","Trust","","","PO Box 11470
Manners Street
WELLINGTON
","http://www.roadsafety.govt.nz",""
"Leadership Development Centre","Trust","","LDC","PO Box 10393
WELLINGTON
","http://www.ldc.govt.nz","info@ldc.govt.nz"
"Ngai Tahu Ancillary Claims Trust","Trust","","","PO Box 13433
Armagh
CHRISTCHURCH
","http://www.ngaitahu.iwi.nz","enquiries-ntac@xtra.co.nz"
"Asia New Zealand Foundation","Trust","","A2F","PO Box 10144
WELLINGTON
","http://www.asianz.org.nz","asianz@asianz.org.nz"
"Pacific Co-operation Foundation","Trust","","","PO Box 10467
WELLINGTON 6143
","http://www.pcf.org.nz/","info@pcf.org.nz"
"Pacific Island Business Development Trust","Trust","Pacific Business Trust","PBT","PO Box 23696
Papatoetoe
AUCKLAND
","http://www.pacificbusiness.co.nz/","info@pacificbusiness.co.nz"
"New Zealand Game Bird Habitat Trust Board","Conservation Sector organisation","","","PO Box 13141
WELLINGTON
","http://www.fishandgame.org.nz/Site/HuntingNZ/Huntinggamebirdstamp.aspx","nzgbht@fishandgame.org.nz"
"Eastern Fish and Game Council","Conservation Sector organisation","","","Private Bag 3010
ROTORUA
","http://www.fishandgame.org.nz/Site/Regions/Eastern_HawkesBay/default.aspx","info@erfgc.co.nz"
